State,County,Cases,Population,per_gop,per_dem,cases_per_pop
Wisconsin,Dunn,2365,"45,368",0.559656798,0.420889436,0.052129254
Minnesota,Blue Earth,3525,"67,653",0.464124129,0.508479751,0.05210412
Minnesota,Big Stone,260,"4,991",0.626514132,0.35397039,0.052093769
Montana,Daniels,88,"1,690",0.787968442,0.192307692,0.052071006
Iowa,Iowa,842,"16,184",0.624212988,0.362385321,0.052026693
Missouri,Boone,9379,"180,463",0.423201754,0.548234649,0.051971872
Indiana,Dubois,2221,"42,736",0.632447934,0.347053602,0.051970236
Illinois,Iroquois,1409,"27,114",0.479955703,0.491871539,0.051965774
Alabama,Calhoun,5896,"113,605",0.689040853,0.29793272,0.051899124
Missouri,Mississippi,684,"13,180",0.743692178,0.247687132,0.051896813
Arkansas,Clay,755,"14,551",0.788721514,0.185206643,0.051886468
Oregon,Morrow,602,"11,603",0.702964427,0.265810277,0.051883134
Texas,Cochran,148,"2,853",0.809236948,0.176706827,0.051875219
Iowa,Howard,475,"9,158",0.717669173,0.271052632,0.05186722
Oklahoma,McClain,2097,"40,474",0.889529853,0.092298817,0.051811039
Mississippi,Lincoln,1766,"34,153",0.709412508,0.279216677,0.051708488
Texas,Victoria,4761,"92,084",0.682561029,0.303201286,0.051702793
Mississippi,Scott,1452,"28,124",0.606008949,0.380886427,0.051628502
Texas,Jackson,762,"14,760",0.823832528,0.163929147,0.051626016
Texas,La Salle,388,"7,520",0.782547568,0.207142188,0.051595745
Indiana,Lake,25026,"485,493",0.7404015,0.235442077,0.051547602
Tennessee,DeKalb,1056,"20,490",0.80552381,0.172190476,0.051537335
Minnesota,Douglas,1964,"38,141",0.655023646,0.326225836,0.051493144
Georgia,Wayne,1541,"29,927",0.78084441,0.210086005,0.051491964
Indiana,Kosciusko,4091,"79,456",0.762719834,0.221480297,0.051487616
Georgia,Washington,1049,"20,374",0.492813359,0.499894314,0.05148719
Oregon,Umatilla,4013,"77,950",0.645440856,0.322658963,0.051481719
Kansas,Doniphan,391,"7,600",0.288837884,0.680564664,0.051447368
Missouri,Holt,226,"4,403",0.84336321,0.144259496,0.05132864
Kansas,Cherokee,1023,"19,939",0.827142857,0.157142857,0.051306485
Idaho,Blaine,1181,"23,021",0.722107438,0.250826446,0.051300986
South Dakota,McPherson,122,"2,379",0.590909091,0.393939394,0.051282051
Minnesota,Anoka,18296,"356,921",0.496983055,0.477933404,0.051260643
Mississippi,Walthall,732,"14,286",NA,NA,0.051238975
Kansas,Clay,410,"8,002",0.761426179,0.213687485,0.051237191
Illinois,Johnson,636,"12,417",0.417457084,0.561285785,0.051220101
South Carolina,Allendale,445,"8,688",0.232396326,0.756470916,0.051220074
Arkansas,Newton,397,"7,753",0.7983992,0.177338669,0.051205985
Idaho,Lemhi,411,"8,027",0.796256684,0.186631016,0.051202193
Arkansas,Arkansas,894,"17,486",0.684436665,0.288510503,0.051126616
Wyoming,Natrona,4082,"79,858",0.717894079,0.242300261,0.05111573
Idaho,Bingham,2391,"46,811",0.302105973,0.668440381,0.051077738
Georgia,Dodge,1052,"20,605",0.724082341,0.269097222,0.051055569
Missouri,Jackson,35871,"703,011",0.380616801,0.59869517,0.051024806
Georgia,Lowndes,5989,"117,406",0.554222845,0.433976917,0.051011022
Wisconsin,Rusk,723,"14,178",0.667047329,0.319375714,0.050994499
Nebraska,Saunders,1100,"21,578",0.71453424,0.262375455,0.050977848
South Carolina,Bamberg,717,"14,066",0.372878741,0.618636223,0.05097398
Nebraska,Merrick,395,"7,755",0.798453246,0.173423951,0.050934881
Iowa,Cedar,948,"18,627",0.522610742,0.459821804,0.050893864
Arkansas,Independence,1923,"37,825",0.775369322,0.193152009,0.050839392
Washington,Yakima,12747,"250,873",0.536897625,0.444136091,0.050810569
Missouri,Ste. Genevieve,909,"17,894",0.85458613,0.135272185,0.050799151
North Dakota,Divide,115,"2,264",0.751044277,0.2213868,0.050795053
Missouri,Washington,1256,"24,730",0.848484848,0.143684031,0.050788516
Iowa,Audubon,279,"5,496",0.627538114,0.352498804,0.050764192
Tennessee,Fayette,2088,"41,133",0.683051291,0.305303559,0.050762162
Nebraska,Gosper,101,"1,990",0.798747764,0.192307692,0.050753769
Minnesota,Lincoln,286,"5,639",0.680796403,0.300899165,0.050718212
Georgia,Evans,540,"10,654",0.680009418,0.31174947,0.050685189
Alabama,Crenshaw,698,"13,772",0.735076319,0.256914009,0.050682544
Tennessee,Madison,4964,"97,984",0.806337091,0.172450519,0.050661332
South Dakota,Fall River,340,"6,713",0.712023751,0.260514597,0.050647996
South Carolina,Lee,852,"16,828",0.356778555,0.632072115,0.050629903
Indiana,Vigo,5419,"107,038",0.737224277,0.239347856,0.05062688
Mississippi,DeSoto,9358,"184,945",0.610400864,0.36970925,0.050598827
Arkansas,Sebastian,6467,"127,827",0.837481334,0.146092583,0.050591816
Kansas,Harper,275,"5,436",0.584988318,0.388551402,0.050588668
Texas,Lynn,301,"5,951",0.808111644,0.186655037,0.050579734
Oklahoma,Ottawa,1573,"31,127",0.747071166,0.234831264,0.050534905
Michigan,Menominee,1151,"22,780",0.643321185,0.341784186,0.050526778
Arkansas,Randolph,907,"17,958",0.78697001,0.177721968,0.050506738
Indiana,Clinton,1635,"32,399",0.702751557,0.27495481,0.050464521
Wisconsin,Sauk,3252,"64,442",0.567714855,0.408987496,0.050463983
Texas,McLennan,12947,"256,623",0.717432531,0.271772429,0.05045144
Alabama,Winston,1192,"23,629",0.903663621,0.086401135,0.050446485
Nebraska,Brown,149,"2,955",0.875894988,0.113365155,0.050423012
Kansas,Hamilton,128,"2,539",0.809741248,0.172374429,0.050413549
Arkansas,Nevada,416,"8,252",0.635199524,0.320428827,0.050412021
Kansas,Graham,125,"2,482",0.778955954,0.20269168,0.050362611
Texas,Duval,561,"11,157",0.483564356,0.50950495,0.050282334
South Carolina,Marlboro,1313,"26,118",0.388397715,0.603373232,0.050271843
Iowa,Allamakee,688,"13,687",0.693538462,0.290615385,0.050266676
Illinois,Lawrence,788,"15,678",0.58614152,0.389456302,0.050261513
Texas,Andrews,940,"18,705",0.84306694,0.144979508,0.050253943
Oklahoma,Adair,1115,"22,194",0.785734384,0.195132245,0.050238803
Kansas,Clark,100,"1,994",0.757097792,0.213297743,0.050150451
Minnesota,Rice,3358,"66,972",0.490557023,0.48861784,0.050140357
Wisconsin,Price,668,"13,351",0.623944477,0.362290341,0.050033705
Missouri,Barton,588,"11,754",0.850419615,0.138884318,0.050025523
Alabama,Chambers,1663,"33,254",0.572925535,0.416268256,0.050009021
Illinois,Cumberland,538,"10,766",0.457237463,0.513108536,0.049972134
Wisconsin,Adams,1006,"20,220",0.62347561,0.366615854,0.04975272
Georgia,Franklin,1159,"23,349",0.840812164,0.147691452,0.0496381
Wisconsin,Iowa,1175,"23,678",0.422411327,0.559782609,0.049624124
Nebraska,Webster,173,"3,487",0.8054371,0.178571429,0.049612848
Illinois,Stephenson,2206,"44,498",0.617250358,0.358202405,0.049575262
Wisconsin,Vilas,1100,"22,195",0.603794497,0.384861129,0.049560712
Kentucky,Warren,6586,"132,896",0.7202314,0.264181263,0.049557549
Texas,Ochiltree,487,"9,836",0.890966719,0.095721078,0.049511997
Mississippi,Jones,3371,"68,098",0.722104786,0.264872414,0.049502188
Iowa,Keokuk,507,"10,246",0.691472868,0.296899225,0.049482725
Illinois,Monroe,1713,"34,637",0.693671995,0.283847894,0.049455784
Iowa,Buchanan,1047,"21,175",0.619920714,0.361620416,0.0494451
Wisconsin,Crawford,797,"16,131",0.531156588,0.454472292,0.049407972
Alabama,Morgan,5913,"119,679",0.738641038,0.246045398,0.049407164
Nebraska,Sheridan,259,"5,246",0.857784431,0.127245509,0.049370949
Texas,Ector,8206,"166,223",0.733638021,0.254632235,0.049367416
Minnesota,Swift,457,"9,266",0.639537126,0.344069431,0.049320095
Rhode Island,Providence,31512,"638,931",0.379694651,0.606474604,0.04931988
South Dakota,Harding,64,"1,298",0.9200492,0.060270603,0.049306626
Michigan,Gogebic,689,"13,975",0.55562266,0.431573862,0.049302326
Indiana,Vanderburgh,8945,"181,451",0.69212283,0.286381842,0.049297055
Montana,McCone,82,"1,664",0.685442934,0.289831341,0.049278846
Wisconsin,Pierce,2106,"42,754",0.549065821,0.419480631,0.049258549
Idaho,Nez Perce,1990,"40,408",0.876376989,0.101591187,0.049247674
Mississippi,Calhoun,706,"14,361",0.702570379,0.287331701,0.049160922
Arkansas,Phillips,874,"17,782",0.388789602,0.578554021,0.049150827
Idaho,Fremont,643,"13,099",0.798453505,0.181060454,0.049087717
Alabama,Fayette,800,"16,302",0.833142988,0.158748287,0.049073733
Illinois,LaSalle,5331,"108,669",0.566384262,0.412867654,0.049057229
Oklahoma,Kingfisher,773,"15,765",0.853982985,0.132095901,0.049032667
Arkansas,Little River,601,"12,259",0.717265353,0.236770954,0.049025206
Nebraska,Hamilton,457,"9,324",0.778442029,0.202355072,0.049013299
Mississippi,Yazoo,1455,"29,690",0.48490901,0.502996005,0.049006399
Tennessee,Rutherford,16264,"332,285",0.565328589,0.411271267,0.048945935
Nebraska,Dawes,420,"8,589",0.711604096,0.262311068,0.048899756
Virginia,Buckingham,838,"17,148",0.503758464,0.480400075,0.048868673
Missouri,Stoddard,1418,"29,025",0.800740015,0.189683317,0.048854436
Kansas,Washington,264,"5,406",0.835587929,0.152965661,0.048834628
Illinois,Ogle,2468,"50,643",0.457210931,0.517844987,0.04873329
Illinois,Jersey,1061,"21,773",0.573936042,0.408511661,0.048730079
North Carolina,Montgomery,1324,"27,173",0.654433054,0.33688082,0.048724837
Tennessee,Hamblen,3163,"64,934",0.763005076,0.223228426,0.048710999
Georgia,Glynn,4153,"85,292",0.610137195,0.378215511,0.048691554
Minnesota,Sherburne,4734,"97,238",0.52290564,0.456367494,0.048684671
Illinois,Ford,631,"12,961",0.730960623,0.253678061,0.048684515
Oklahoma,Garvin,1348,"27,711",0.812854789,0.170756272,0.048644942
Missouri,Camden,2252,"46,305",0.759869218,0.227658029,0.048634057
Illinois,Will,33564,"690,743",0.676984151,0.301674477,0.048591155
Alabama,Greene,394,"8,111",0.183399707,0.813246699,0.048576008
Nebraska,Howard,313,"6,445",0.795772636,0.185089974,0.048564779
New Mexico,Lea,3451,"71,070",0.790276317,0.194139019,0.04855776
Texas,San Saba,294,"6,055",0.887009992,0.110299769,0.048554913
Indiana,Noble,2318,"47,744",0.756005057,0.237041719,0.048550603
Tennessee,Bedford,2412,"49,713",0.751982772,0.233363097,0.048518496
South Dakota,Perkins,139,"2,865",0.839424805,0.143199521,0.048516579
Colorado,Adams,25092,"517,421",0.404409226,0.566715971,0.04849436
Mississippi,George,1188,"24,500",0.877696527,0.110420475,0.048489796
Virginia,Martinsville,608,"12,554",0.65063066,0.325194049,0.048430779
Alabama,Henry,833,"17,205",0.711526009,0.279408591,0.048416158
Montana,Carbon,519,"10,725",0.627963094,0.342370476,0.048391608
Kansas,Atchison,777,"16,073",0.861219196,0.122784263,0.04834194
Mississippi,Newton,1016,"21,018",0.695667204,0.292924637,0.048339519
Nebraska,Washington,1002,"20,729",0.691452509,0.286312737,0.048338077
Illinois,McDonough,1433,"29,682",0.687537004,0.29366489,0.048278418
Nebraska,Holt,486,"10,067",0.861688664,0.123485807,0.048276547
South Carolina,Dillon,1471,"30,479",0.502404397,0.491260209,0.048262738
Indiana,Gibson,1623,"33,659",0.680976864,0.294344473,0.048218901
Texas,Menard,103,"2,138",0.80058651,0.191593353,0.048175865
Minnesota,Wilkin,299,"6,207",0.679184862,0.298981077,0.048171419
Tennessee,Dickson,2597,"53,948",0.723810698,0.250513516,0.048138949
Iowa,Clarke,452,"9,395",0.686155914,0.297155018,0.048110697
Oklahoma,Major,367,"7,629",0.795123726,0.18621335,0.048105912
Mississippi,Jasper,788,"16,383",0.492478593,0.496065726,0.048098639
Georgia,Richmond,9737,"202,518",0.308451908,0.678832117,0.048079677
Georgia,Bibb,7361,"153,159",0.375316823,0.612180168,0.048061165
Illinois,Wayne,779,"16,215",0.779213786,0.204227248,0.048041936
Iowa,Fremont,334,"6,960",0.637316977,0.349821923,0.047988506
Illinois,Knox,2384,"49,699",0.41367673,0.567734188,0.047968772
Nebraska,Box Butte,517,"10,783",0.772437753,0.202856591,0.047945841
Illinois,Hancock,849,"17,708",NA,NA,0.047944432
Georgia,Cook,828,"17,270",0.696517413,0.29267946,0.047944412
Wisconsin,Monroe,2217,"46,253",0.610485729,0.373692608,0.047932026
Texas,Refugio,333,"6,948",0.656565657,0.329174094,0.047927461
Idaho,Ada,23065,"481,587",0.750580046,0.228538283,0.047893735
Utah,Summit,2018,"42,145",0.337672366,0.647159404,0.047882311
Iowa,Poweshiek,886,"18,504",0.724990772,0.261351052,0.047881539
Texas,Lamar,2385,"49,859",0.799499317,0.190031862,0.047834894
Alabama,Chilton,2125,"44,428",0.833437175,0.15867082,0.047830197
Illinois,Lake,33260,"696,535",0.760150494,0.221664838,0.047750651
North Carolina,Avery,838,"17,557",0.759396081,0.232466003,0.04773025
Alabama,Cullman,3998,"83,768",0.88151182,0.10668008,0.047727056
Georgia,Habersham,2162,"45,328",0.814230411,0.174400941,0.047696788
Kansas,Pratt,437,"9,164",0.836448598,0.142857143,0.0476866
Georgia,Chattooga,1182,"24,789",0.80238806,0.184477612,0.04768244
Iowa,Warren,2453,"51,466",0.592498086,0.387683933,0.047662534
Indiana,Warrick,3002,"62,998",0.75144318,0.229506845,0.047652306
New York,Westchester,46064,"967,506",0.348182845,0.641083417,0.047611074
Tennessee,Shelby,44615,"937,166",0.339243907,0.642144462,0.047606294
Tennessee,Robertson,3415,"71,813",0.727782392,0.257771713,0.047554064
Texas,Coke,161,"3,387",0.872352285,0.119843924,0.047534691
Oklahoma,Alfalfa,271,"5,702",0.874447392,0.102564103,0.047527183
Mississippi,Jefferson,332,"6,990",0.135398004,0.851036601,0.047496423
Missouri,Newton,2766,"58,236",0.777926469,0.204007607,0.047496394
Illinois,Logan,1359,"28,618",0.570301058,0.404637917,0.047487595
Mississippi,Jefferson Davis,528,"11,128",0.414408602,0.568817204,0.047447879
Mississippi,Oktibbeha,2351,"49,587",0.454577697,0.519683843,0.04741162
Texas,Sutton,179,"3,776",0.784842646,0.206807964,0.047404661
Mississippi,Forrest,3548,"74,897",0.577467973,0.399510173,0.047371724
Colorado,Morgan,1377,"29,068",0.701229966,0.27886694,0.04737168
Iowa,Boone,1241,"26,234",0.570180267,0.409660107,0.047305024
Alabama,Cleburne,705,"14,910",0.897642164,0.093203883,0.047283702
Nebraska,Red Willow,507,"10,724",0.829970653,0.148752751,0.047277135
New Mexico,Cibola,1261,"26,675",0.448240751,0.531281819,0.047272727
Georgia,Wilkinson,423,"8,954",0.558490566,0.435010482,0.047241456
Georgia,Calhoun,292,"6,189",0.420884633,0.574099407,0.047180481
Iowa,Fayette,927,"19,650",0.589334662,0.394717169,0.047175573
Arizona,Coconino,6765,"143,476",0.367757593,0.611607267,0.047150743
Illinois,Madison,12394,"262,966",0.579821801,0.40121388,0.047131568
Missouri,Morgan,972,"20,627",0.784373682,0.202867988,0.047122703
Oklahoma,Haskell,595,"12,627",0.830674112,0.156162744,0.047121248
Idaho,Owyhee,557,"11,823",0.784733906,0.191357478,0.047111562
Nebraska,Knox,392,"8,332",0.792456851,0.192414234,0.047047528
Alabama,Elmore,3820,"81,209",0.735834291,0.25198699,0.047039121
Indiana,Henry,2256,"47,972",0.649942145,0.326694404,0.047027433
Illinois,Lee,1603,"34,096",0.711713297,0.267933603,0.047014313
Montana,Powder River,79,"1,682",0.853873239,0.13556338,0.046967895
Illinois,Williamson,3127,"66,597",0.496285461,0.482569607,0.046954067
Montana,Silver Bow,1639,"34,915",0.410583461,0.550361039,0.046942575
Montana,Garfield,59,"1,258",0.939729397,0.050430504,0.046899841
Michigan,Baraga,385,"8,209",0.622861394,0.365732705,0.046899744
Missouri,Livingston,714,"15,227",0.779570688,0.208586232,0.046890392
Missouri,Buchanan,4095,"87,364",0.611500014,0.36621905,0.046872854
Oklahoma,Love,480,"10,253",0.810843965,0.174435721,0.046815566
Illinois,Champaign,9813,"209,689",0.714862682,0.266310426,0.046797877
Texas,Jim Wells,1894,"40,482",0.547049678,0.446065003,0.046786226
Alabama,Blount,2704,"57,826",0.895699042,0.095669908,0.046760973
South Carolina,Richland,19441,"415,759",0.30085852,0.683978083,0.046760263
Illinois,Franklin,1798,"38,469",0.593206999,0.3857238,0.046738933
Arizona,Graham,1815,"38,837",0.71522694,0.268467989,0.046733785
Alabama,Houston,4945,"105,882",0.707846995,0.27842623,0.046702933
Minnesota,Wadena,638,"13,682",0.720611285,0.263975967,0.04663061
Arkansas,Miller,2017,"43,257",0.721374046,0.256573367,0.046628291
Oklahoma,Woods,410,"8,793",0.813757477,0.160685155,0.046628
Alabama,Barbour,1151,"24,686",0.53600459,0.456345032,0.046625618
Missouri,Grundy,459,"9,850",0.807978364,0.180076628,0.046598985
Arizona,Gila,2514,"54,018",0.662735339,0.322549232,0.046540042
Texas,Zavala,551,"11,840",0.340260333,0.654030601,0.046537162
Kentucky,Union,668,"14,381",0.5743347,0.406081191,0.046450177
Iowa,Davis,418,"9,000",0.687993681,0.294102159,0.046444444
Texas,Brewster,427,"9,203",0.510093652,0.468470343,0.046397914
Minnesota,Martin,913,"19,683",0.729628902,0.253877872,0.046385206
Minnesota,Chisago,2624,"56,579",0.634804277,0.341842204,0.046377631
Oklahoma,Seminole,1125,"24,258",0.721002759,0.25788653,0.046376453
South Carolina,Charleston,19075,"411,406",0.426292054,0.555088482,0.046365391
Kentucky,Fayette,14967,"323,152",0.783187093,0.208604585,0.046315666
Idaho,Jefferson,1383,"29,871",0.733998976,0.242319508,0.046299086
Nebraska,Greeley,109,"2,356",0.807631161,0.182034976,0.046264856
Minnesota,Winona,2334,"50,484",0.487991146,0.491791182,0.04623247
Nebraska,Antelope,291,"6,298",0.863243092,0.12615127,0.046205144
Nebraska,Adams,1449,"31,363",0.688395904,0.287576792,0.046200937
Alabama,Mobile,19090,"413,210",0.55343459,0.43323083,0.046199269
Minnesota,Scott,6884,"149,013",0.410599121,0.565965009,0.046197312
Nebraska,Furnas,216,"4,676",0.83160323,0.153402537,0.046193328
Tennessee,Wilson,6681,"144,657",0.676811164,0.299570827,0.046185114
Alabama,Autauga,2580,"55,869",0.715076522,0.269546655,0.046179456
Alabama,Pike,1529,"33,114",0.581327921,0.40685706,0.046173824
Georgia,Bulloch,3674,"79,608",0.611155431,0.37372025,0.046151141
Ohio,Auglaize,2107,"45,656",0.805284297,0.18046149,0.046149466
Texas,Hidalgo,40085,"868,707",0.40916345,0.579738018,0.046143291
Idaho,Camas,51,"1,106",0.682887724,0.286173953,0.046112116
North Carolina,Edgecombe,2365,"51,472",0.361505682,0.632378472,0.045947311
South Carolina,Florence,6349,"138,293",0.505543065,0.482967672,0.045909771
Wisconsin,Sawyer,760,"16,558",0.482468482,0.49940688,0.045899263
Tennessee,Marshall,1577,"34,375",0.558312134,0.42731113,0.045876364
Kentucky,Jackson,611,"13,329",0.390110673,0.591277231,0.045839898
Georgia,Terrell,391,"8,531",0.453701607,0.537921666,0.045832845
Missouri,Laclede,1637,"35,723",0.817825079,0.1652298,0.045824819
Oklahoma,Payne,3745,"81,784",0.600917586,0.36784401,0.045791353
Alabama,Bibb,1024,"22,394",0.784289147,0.207040635,0.045726534
New Jersey,Union,25437,"556,341",0.264112985,0.724810021,0.045721958
Iowa,Van Buren,322,"7,044",0.608957519,0.372781444,0.045712663
Minnesota,Mille Lacs,1201,"26,277",0.678673762,0.3002456,0.04570537
Wisconsin,Dane,24973,"546,695",0.228542836,0.754636035,0.04567995
New Mexico,Roosevelt,843,"18,500",0.701271186,0.272699758,0.045567568
Texas,Wichita,6023,"132,230",0.697877735,0.284658929,0.045549421
Kentucky,Clay,906,"19,901",0.867802109,0.122262774,0.04552535
Minnesota,McLeod,1634,"35,893",0.677296612,0.299329589,0.045524197
Wisconsin,Richland,785,"17,252",0.54092724,0.443101154,0.045501971
Texas,Grimes,1314,"28,880",0.75971931,0.228343281,0.045498615
Kansas,Sedgwick,23476,"516,042",0.644243969,0.340458914,0.045492421
Texas,Calhoun,968,"21,290",0.718196867,0.273271361,0.045467356
Georgia,Montgomery,417,"9,172",0.746845028,0.246340232,0.045464457
Illinois,Grundy,2321,"51,054",0.794485635,0.190222428,0.045461668
Tennessee,Sumner,8696,"191,283",0.685233819,0.298609085,0.045461437
Indiana,White,1095,"24,102",0.731243957,0.240771287,0.045431914
Missouri,Lawrence,1742,"38,355",0.804294479,0.179252649,0.045417807
Kentucky,Fulton,271,"5,969",0.767731878,0.213561964,0.04540124
Tennessee,Cannon,666,"14,678",0.790917403,0.192167022,0.045374029
Montana,Richland,490,"10,803",0.827776818,0.150975989,0.045357771
Alabama,Dale,2230,"49,172",0.724960658,0.261637647,0.045351013
North Carolina,Wilson,3709,"81,801",0.481456757,0.508801859,0.045341744
Minnesota,Redwood,687,"15,170",0.696622437,0.284439083,0.04528675
Minnesota,Becker,1557,"34,423",0.639515176,0.338554774,0.045231386
South Carolina,Pickens,5732,"126,884",0.745612206,0.237114656,0.045175121
Tennessee,Rhea,1498,"33,167",0.810626102,0.173647854,0.045165375
Missouri,St. Louis,44897,"994,205",0.80962129,0.180655067,0.045158695
South Carolina,Barnwell,942,"20,866",0.532118981,0.457320027,0.045145212
Missouri,Taney,2523,"55,928",0.836392517,0.15142958,0.045111572
Georgia,Towns,543,"12,037",0.800100263,0.194259932,0.045110908
Kansas,Harvey,1553,"34,429",0.797541576,0.188720174,0.045107322
Alabama,Lee,7421,"164,542",0.591983657,0.388841927,0.045100947
Arkansas,Cross,740,"16,419",0.713066126,0.254521777,0.045069736
Tennessee,Coffee,2547,"56,520",0.734709826,0.234607,0.045063694
Idaho,Butte,117,"2,597",0.672413793,0.197612732,0.045051983
Texas,Wilbarger,575,"12,769",0.779105799,0.211155378,0.045030934
Alabama,Jefferson,29626,"658,573",0.426404866,0.557283437,0.044985142
Tennessee,Sevier,4419,"98,250",0.774360857,0.199545601,0.044977099
Nevada,Clark,101933,"2,266,715",0.633240898,0.339624892,0.044969482
Minnesota,Clearwater,396,"8,818",0.716471838,0.267375133,0.044908142
South Carolina,Chester,1446,"32,244",0.549597005,0.440502634,0.044845553
Georgia,Irwin,422,"9,416",0.751378566,0.241668665,0.044817332
Idaho,Lewis,172,"3,838",0.757216495,0.213402062,0.044815008
Arkansas,Johnson,1191,"26,578",0.730376516,0.240587109,0.044811498
Minnesota,Washington,11756,"262,440",0.443677732,0.536246706,0.044795001
Minnesota,Norman,285,"6,375",0.569015725,0.40885265,0.044705882
Minnesota,Crow Wing,2908,"65,055",0.639143426,0.341708167,0.044700638
Wisconsin,Burnett,689,"15,414",0.637116655,0.351937679,0.044699624
Illinois,Jo Daviess,949,"21,235",0.7842285,0.198696057,0.04469037
Nebraska,Cheyenne,398,"8,910",0.800209864,0.179433368,0.044668911
South Carolina,Fairfield,998,"22,347",0.381097561,0.608272907,0.044659238
Illinois,Clark,689,"15,441",0.815835267,0.163718097,0.044621462
Indiana,Randolph,1099,"24,665",0.788585434,0.194257703,0.044557065
Arkansas,Crawford,2818,"63,257",0.772778356,0.205452653,0.044548429
Minnesota,Lac qui Parle,295,"6,623",0.625649913,0.357761822,0.044541748
Illinois,Sangamon,8669,"194,672",0.510589588,0.467033862,0.044531314
Missouri,Butler,1891,"42,478",0.803688412,0.181723094,0.044517162
Illinois,Henry,2177,"48,913",0.774962529,0.206623367,0.044507595
Tennessee,Giles,1311,"29,464",0.741024087,0.249810635,0.044494977
Indiana,Posey,1131,"25,427",0.730431791,0.251677275,0.044480277
Oklahoma,Tulsa,28966,"651,552",0.564628503,0.40871763,0.044456927
Arkansas,Desha,505,"11,361",0.461205861,0.484266154,0.044450312
Alabama,Marion,1320,"29,709",0.884230379,0.105686929,0.044430981
Tennessee,Benton,718,"16,160",0.780827586,0.210482759,0.044430693
Michigan,Ontonagon,254,"5,720",0.618897638,0.365091864,0.044405594
Oklahoma,Le Flore,2213,"49,853",0.808986972,0.175432066,0.044390508
Arkansas,Carroll,1259,"28,380",0.631669387,0.338602973,0.044362227
Nebraska,Lancaster,14150,"319,090",0.446452026,0.526122158,0.044344856
Montana,Wheatland,94,"2,126",0.770599251,0.210674157,0.044214487
Wyoming,Uinta,894,"20,226",0.797234043,0.169255319,0.044200534
Georgia,Bartow,4762,"107,738",0.746502596,0.239587049,0.044199818
Indiana,Knox,1617,"36,594",0.738604028,0.232940914,0.044187572
Texas,Howard,1619,"36,664",0.786517973,0.200836403,0.044157757
Montana,Pondera,261,"5,911",0.678022712,0.301603206,0.044154965
Missouri,Crawford,1056,"23,920",0.79513351,0.192563565,0.044147157
Illinois,St. Clair,11447,"259,686",0.694203402,0.282540784,0.044080158
Indiana,Wabash,1365,"30,996",0.760339817,0.21775095,0.04403794
Minnesota,Hennepin,55721,"1,265,843",0.273149303,0.706331032,0.044018887
Alabama,Sumter,547,"12,427",0.254377587,0.738459089,0.04401706
North Carolina,Stanly,2764,"62,806",0.752349512,0.239025696,0.044008534
Wisconsin,St. Croix,3990,"90,687",0.569887913,0.410617995,0.043997486
Texas,Young,790,"18,010",0.862897355,0.125697646,0.04386452
Alabama,Shelby,9537,"217,702",0.814481577,0.173589501,0.04380759
North Carolina,Nash,4130,"94,298",0.494983213,0.495928684,0.043797323
Texas,Dallas,115410,"2,635,516",0.333256153,0.649405552,0.043790286
Indiana,Decatur,1162,"26,559",0.555719603,0.422716214,0.043751647
Kentucky,Bell,1138,"26,032",0.669290398,0.312114468,0.043715427
North Carolina,Bertie,828,"18,947",0.390289256,0.60392562,0.04370085
Minnesota,Wright,6046,"138,377",0.618998093,0.356549373,0.043692232
Tennessee,Franklin,1844,"42,208",0.730021937,0.253995613,0.0436884
Nebraska,Garfield,86,"1,969",0.866916589,0.124648547,0.043676993
Kansas,Anderson,343,"7,858",0.660010941,0.316466083,0.043649784
Kansas,Lane,67,"1,535",0.591942406,0.380811297,0.043648208
Mississippi,Clay,843,"19,316",0.412472648,0.569723493,0.043642576
Utah,Weber,11350,"260,213",0.591369364,0.366012831,0.043618113
Michigan,Branch,1898,"43,517",0.684810127,0.299951315,0.043615139
Mississippi,Marion,1071,"24,573",0.686452637,0.3017287,0.043584422
Alabama,Geneva,1145,"26,271",0.864890732,0.126973999,0.04358418
Alabama,Lamar,601,"13,805",0.858216224,0.136079032,0.043534951
North Carolina,Wayne,5357,"123,131",0.553720208,0.43538872,0.043506509
Kansas,Jackson,573,"13,171",0.646097433,0.32446307,0.043504669
Tennessee,Carter,2453,"56,391",0.799139456,0.185499437,0.043499849
Mississippi,Lauderdale,3224,"74,125",0.578105222,0.411151861,0.043494098
South Carolina,Hampton,836,"19,222",0.419757068,0.572073525,0.043491832
Illinois,Calhoun,206,"4,739",0.636772421,0.341868599,0.043469086
Alabama,St. Clair,3891,"89,512",0.694064087,0.288677811,0.043469032
Illinois,Peoria,7788,"179,179",0.726143141,0.259343936,0.043464915
Missouri,Randolph,1075,"24,748",0.746415937,0.231334947,0.043437854
Texas,Pecos,687,"15,823",0.688303342,0.295201371,0.04341781
Illinois,Mason,580,"13,359",0.728476821,0.255373533,0.043416423
South Carolina,Darlington,2892,"66,618",0.519233735,0.46950674,0.043411691
Indiana,Porter,7390,"170,389",0.694059107,0.287319059,0.043371344
Indiana,Jackson,1916,"44,231",0.734624072,0.245111326,0.043318035
Iowa,Wayne,279,"6,441",0.613807437,0.370969554,0.043316255
Georgia,Mitchell,947,"21,863",0.550596898,0.445721299,0.04331519
North Carolina,Columbus,2404,"55,508",0.636207751,0.357504858,0.043309073
Missouri,Carter,259,"5,982",0.843427392,0.14384033,0.043296556
