state_name,county_name,per_gop,per_dem
Alabama,Autauga County,0.714368023,0.270183651
Alabama,Baldwin County,0.761713728,0.2240903
Alabama,Barbour County,0.534512265,0.457881727
Alabama,Bibb County,0.784262637,0.206982804
Alabama,Blount County,0.895715528,0.09569378
Alabama,Bullock County,0.248428355,0.747019293
Alabama,Butler County,0.575252951,0.41789629
Alabama,Calhoun County,0.688484397,0.298452425
Alabama,Chambers County,0.572690395,0.416448574
Alabama,Cherokee County,0.860336558,0.132021787
Alabama,Chilton County,0.832988089,0.159140342
Alabama,Choctaw County,0.575562701,0.418944266
Alabama,Clarke County,0.557594214,0.438142368
Alabama,Clay County,0.808225108,0.182828283
Alabama,Cleburne County,0.897191089,0.093399751
Alabama,Coffee County,0.758653199,0.227878788
Alabama,Colbert County,0.688625117,0.299182385
Alabama,Conecuh County,0.53438907,0.460487502
Alabama,Coosa County,0.662712174,0.327797043
Alabama,Covington County,0.836833046,0.156110155
Alabama,Crenshaw County,0.735076319,0.256914009
Alabama,Cullman County,0.881221476,0.106998638
Alabama,Dale County,0.724642821,0.2619313
Alabama,Dallas County,0.309225258,0.684617107
Alabama,DeKalb County,0.843677613,0.145830495
Alabama,Elmore County,0.735169388,0.252668779
Alabama,Escambia County,0.683155248,0.309113765
Alabama,Etowah County,0.744384847,0.242352497
Alabama,Fayette County,0.832762948,0.159137577
Alabama,Franklin County,0.824932422,0.165845126
Alabama,Geneva County,0.864726983,0.127142288
Alabama,Greene County,0.183246073,0.813403141
Alabama,Hale County,0.404050633,0.590253165
Alabama,Henry County,0.710582921,0.280275328
Alabama,Houston County,0.706430165,0.279752236
Alabama,Jackson County,0.832205111,0.157260112
Alabama,Jefferson County,0.426097444,0.557585132
Alabama,Lamar County,0.858334492,0.135965522
Alabama,Lauderdale County,0.715419834,0.26872505
Alabama,Lawrence County,0.768635768,0.222194498
Alabama,Lee County,0.590924995,0.38992848
Alabama,Limestone County,0.703564537,0.277688636
Alabama,Lowndes County,0.26861741,0.727432334
Alabama,Macon County,0.176659406,0.814857274
Alabama,Madison County,0.527707466,0.448156002
Alabama,Marengo County,0.490183486,0.503486239
Alabama,Marion County,0.883971898,0.105960745
Alabama,Marshall County,0.836994074,0.149867608
Alabama,Mobile County,0.552745081,0.433895307
Alabama,Monroe County,0.576209224,0.417604049
Alabama,Montgomery County,0.336002986,0.650894199
Alabama,Morgan County,0.738319497,0.246342281
Alabama,Perry County,0.256022945,0.738049713
Alabama,Pickens County,0.578609847,0.416011585
